[2022-05-23 17:01:59] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1?res=sizeError&line=2&image=full-moon-harvest-moon-large-file-size-mono-from-the-archives-of-press-F1WJP4.jpg] 	 [Error: filesizeError] 	 [/server/app.js] 	 [5396]
[2022-05-23 17:01:59] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1?res=sizeError&line=2&image=full-moon-harvest-moon-large-file-size-mono-from-the-archives-of-press-F1WJP4.jpg] 	 [Error: filesizeError] 	 [/server/app.js] 	 [5396]
[2022-05-23 17:01:59] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1?res=sizeError&line=2&image=full-moon-harvest-moon-large-file-size-mono-from-the-archives-of-press-F1WJP4.jpg] 	 [RequestError: Error: Parse Error] 	 [/server/node_modules/request-promise-core/lib/errors.js] 	 [14]
[2022-05-23 17:22:46] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [Error: filesizeError] 	 [/server/app.js] 	 [5394]
[2022-05-23 17:22:46] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [Error: filesizeError] 	 [/server/app.js] 	 [5394]
[2022-05-23 17:22:46] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/product-management/renderPage/1] 	 [RequestError: Error: Parse Error] 	 [/server/node_modules/request-promise-core/lib/errors.js] 	 [14]
[2022-05-25 12:05:52] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: syntax error at or near "all"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:05:55] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: syntax error at or near "all"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:09:43] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: syntax error at or near "Гражданство"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:11:43] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: syntax error at or near "Гражданство"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:23:31] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: type "user_id" does not exist] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:23:32] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: type "user_id" does not exist] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:23:34] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: type "user_id" does not exist] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:25:31] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: type "user_id" does not exist] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:25:32] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: type "user_id" does not exist] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:29:55] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: type "user_id" does not exist] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:29:55] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: type "user_id" does not exist] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:31:55] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: type "user_id" does not exist] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:31:55] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: type "user_id" does not exist] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:33:55] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: type "user_id" does not exist] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:35:55] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: type "user_id" does not exist] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:39:35] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: syntax error at or near "'='"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:41:35] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: syntax error at or near "'='"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:41:50] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: type "user_id" does not exist] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:43:50] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: type "user_id" does not exist] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:47:54] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: type "user_id" does not exist] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:49:04] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: invalid input syntax for type integer: ""] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:49:51] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: invalid input syntax for type integer: ""] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:50:17] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: invalid input syntax for type integer: ""] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:51:16] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [ReferenceError: userid is not defined] 	 [/server/app.js] 	 [5665]
[2022-05-25 12:51:37] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: invalid input syntax for type integer: ""] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 12:53:37] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: invalid input syntax for type integer: ""] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
[2022-05-25 17:28:04] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/new-target-group] 	 [error: invalid input syntax for type date: "31/03"] 	 [/server/node_modules/pg-protocol/dist/parser.js] 	 [287]
