[2022-06-13 15:02:54] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/js/products.js] 	 [Uncaught ReferenceError: nqmatakavafunkciqgg is not defined] 	 [/ReferenceError: nqmatakavafunkciqgg is not defined] 	 [89]
[2022-06-13 15:02:54] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/js/products.js] 	 [Uncaught ReferenceError: nqmatakavafunkciqgg is not defined] 	 [/ReferenceError: nqmatakavafunkciqgg is not defined] 	 [89]
[2022-06-13 15:17:26] 	 [user: -] 	 [staff user: admin] [https://bgmitko.bg:3000/js/shopcart.js] 	 [Uncaught TypeError: Cannot set properties of null (setting 'innerText')] 	 [/TypeError: Cannot set properties of null (setting 'innerText')] 	 [409]
[2022-06-14 17:09:33] 	 [user: testMail] 	 [staff user: admin] [undefined] 	 [undefined] 	 [/undefined] 	 [undefined]
[2022-06-14 17:10:00] 	 [user: testMail] 	 [staff user: admin] [undefined] 	 [undefined] 	 [/undefined] 	 [undefined]
[2022-06-14 17:11:12] 	 [user: testMail] 	 [staff user: admin] [undefined] 	 [kyp] 	 [/undefined] 	 [undefined]
[2022-06-14 17:12:25] 	 [user: testMail] 	 [staff user: admin] [undefined] 	 [kyp] 	 [/undefined] 	 [undefined]
[2022-06-14 17:12:59] 	 [user: testMail] 	 [staff user: admin] [undefined] 	 [kyp] 	 [/undefined] 	 [undefined]
[2022-06-14 17:15:29] 	 [user: testMail] 	 [staff user: admin] [undefined] 	 [undefined] 	 [/undefined] 	 [undefined]
[2022-06-14 17:17:07] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
[2022-06-14 17:17:07] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
[2022-06-14 17:17:08] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught SyntaxError: Unexpected end of input] 	 [/SyntaxError: Unexpected end of input] 	 [1]
[2022-06-14 17:17:08] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught SyntaxError: Unexpected end of input] 	 [/SyntaxError: Unexpected end of input] 	 [1]
[2022-06-14 17:17:09] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught SyntaxError: Unexpected end of input] 	 [/SyntaxError: Unexpected end of input] 	 [1]
[2022-06-14 17:17:10] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
[2022-06-14 17:27:58] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/products] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
[2022-06-14 17:27:58] 	 [user: testMail] 	 [staff user: admin] [] 	 [Uncaught Error] 	 [/Error] 	 [1]
[2022-06-14 17:28:08] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/shopcart?products=[1038]] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
[2022-06-14 17:28:09] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/shopcart?products=[1038]] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
[2022-06-14 17:28:10] 	 [user: testMail] 	 [staff user: admin] [] 	 [Uncaught Error: KYP] 	 [/Error: KYP] 	 [1]
[2022-06-14 17:29:07] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/js/shopcart.js] 	 [Uncaught TypeError: Cannot set properties of null (setting 'innerHTML')] 	 [/TypeError: Cannot set properties of null (setting 'innerHTML')] 	 [453]
[2022-06-14 17:29:14] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/js/shopcart.js] 	 [Uncaught TypeError: Cannot set properties of null (setting 'innerHTML')] 	 [/TypeError: Cannot set properties of null (setting 'innerHTML')] 	 [453]
[2022-06-14 17:29:18] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/js/shopcart.js] 	 [Uncaught TypeError: Cannot set properties of null (setting 'innerHTML')] 	 [/TypeError: Cannot set properties of null (setting 'innerHTML')] 	 [453]
[2022-06-15 12:11:28] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
[2022-06-15 12:11:28] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught EvalError: Possible side-effect in debug-evaluate] 	 [/EvalError: Possible side-effect in debug-evaluate] 	 [0]
[2022-06-15 12:11:28] 	 [user: testMail] 	 [staff user: admin] [https://10.20.1.115:3000/] 	 [Uncaught SyntaxError: Unexpected end of input] 	 [/SyntaxError: Unexpected end of input] 	 [1]
